TWA,6,8,10,12,14,16,20
0,0,0,0,0,0,0,0
52,5.1,6.0,6.7,7.0,7.1,7.2,7.2
60,5.4,6.3,6.9,7.1,7.3,7.4,7.5
75,5.6,6.5,7.0,7.2,7.4,7.6,7.8
90,5.5,6.5,7.1,7.4,7.6,7.7,8.1
110,5.5,6.6,7.2,7.5,7.8,8.1,8.5
120,5.3,6.4,7.1,7.5,7.8,8.2,8.8
135,4.8,5.9,6.8,7.2,7.6,7.9,8.6
150,4.1,5.2,6.1,6.8,7.2,7.4,8.0
180,3,4,5,6,6.5,7,7.6
BeatAngle,42.7,40.9,41.1,39.8,38.9,38.3,38.3
BeatVMG,3.4,4.0,4.5,4.9,5.1,5.2,5.2
RunAngle,145.6,149.2,149.1,152.3,159.1,175.4,178.1
RunVMG,3.6,4.5,5.3,5.9,6.3,6.9,7.5
